init network start
init network start
usrname is robot_100, pass is robot_100, fd is 7
usrname is robot_300, pass is robot_300, fd is 8
usrname is robot_0, pass is robot_0, fd is 9
usrname is robot_400, pass is robot_400, fd is 10
usrname is robot_200, pass is robot_200, fd is 11
usrname is robot_101, pass is robot_101, fd is 12
usrname is robot_301, pass is robot_301, fd is 13
usrname is robot_1, pass is robot_1, fd is 14
usrname is robot_201, pass is robot_201, fd is 15
usrname is robot_401, pass is robot_401, fd is 16
usrname is robot_2, pass is robot_2, fd is 17
usrname is robot_302, pass is robot_302, fd is 18
usrname is robot_102, pass is robot_102, fd is 19
usrname is robot_402, pass is robot_402, fd is 20
usrname is robot_202, pass is robot_202, fd is 21
usrname is robot_103, pass is robot_103, fd is 22
usrname is robot_303, pass is robot_303, fd is 23
usrname is robot_3, pass is robot_3, fd is 24
usrname is robot_203, pass is robot_203, fd is 25
usrname is robot_403, pass is robot_403, fd is 26
usrname is robot_4, pass is robot_4, fd is 27
usrname is robot_104, pass is robot_104, fd is 28
usrname is robot_304, pass is robot_304, fd is 29
usrname is robot_404, pass is robot_404, fd is 30
usrname is robot_204, pass is robot_204, fd is 31
usrname is robot_5, pass is robot_5, fd is 32
usrname is robot_105, pass is robot_105, fd is 33
usrname is robot_305, pass is robot_305, fd is 34
usrname is robot_205, pass is robot_205, fd is 35
usrname is robot_405, pass is robot_405, fd is 36
usrname is robot_6, pass is robot_6, fd is 37
usrname is robot_106, pass is robot_106, fd is 38
usrname is robot_306, pass is robot_306, fd is 39
usrname is robot_406, pass is robot_406, fd is 40
usrname is robot_206, pass is robot_206, fd is 41
usrname is robot_7, pass is robot_7, fd is 42
usrname is robot_107, pass is robot_107, fd is 43
usrname is robot_307, pass is robot_307, fd is 44
usrname is robot_407, pass is robot_407, fd is 45
usrname is robot_207, pass is robot_207, fd is 46
usrname is robot_8, pass is robot_8, fd is 47
usrname is robot_108, pass is robot_108, fd is 48
usrname is robot_308, pass is robot_308, fd is 49
usrname is robot_408, pass is robot_408, fd is 50
usrname is robot_208, pass is robot_208, fd is 51
usrname is robot_109, pass is robot_109, fd is 52
usrname is robot_309, pass is robot_309, fd is 53
usrname is robot_9, pass is robot_9, fd is 54
usrname is robot_409, pass is robot_409, fd is 55
usrname is robot_209, pass is robot_209, fd is 56
usrname is robot_10, pass is robot_10, fd is 57
usrname is robot_110, pass is robot_110, fd is 58
usrname is robot_310, pass is robot_310, fd is 59
usrname is robot_210, pass is robot_210, fd is 60
usrname is robot_410, pass is robot_410, fd is 61
usrname is robot_311, pass is robot_311, fd is 62
usrname is robot_111, pass is robot_111, fd is 63
usrname is robot_11, pass is robot_11, fd is 64
